Date,Close
2021-12-30,114.92
2022-01-03,116.36
2022-01-04,117.12
2022-01-05,116.94
2022-01-06,116.98
2022-01-07,117.53
2022-01-09,117.53
2022-01-10,117.92
2022-01-11,118.11
2022-01-12,118.22
2022-01-13,117.50
2022-01-14,117.42
2022-01-17,117.34
2022-01-18,117.08
2022-01-19,116.97
2022-01-20,116.51
2022-01-21,115.72
2022-01-24,112.52
2022-01-25,114.32
2022-01-26,115.21
2022-01-27,115.32
2022-01-28,116.17
2022-01-29,117.06
2022-01-30,117.09
2022-01-31,116.77
2022-02-01,116.80
2022-02-02,117.69
2022-02-03,116.77
2022-02-04,117.31
2022-02-06,116.55
2022-02-07,117.06
2022-02-08,118.45
2022-02-09,118.77
2022-02-10,119.08
2022-02-11,118.23
2022-02-13,116.56
2022-02-14,115.56
2022-02-15,117.89
2022-02-16,117.89
2022-02-17,116.97
2022-02-18,116.65
2022-02-20,116.31
2022-02-21,112.75
2022-02-22,113.66
2022-02-23,114.57
2022-02-24,110.22
2022-02-26,111.43
2022-02-28,108.57
2022-03-02,106.86
2022-03-03,106.01
2022-03-04,103.01
2022-03-06,103.10
2022-03-07,100.59
2022-03-08,102.29
2022-03-09,104.29
2022-03-10,103.47
2022-03-11,104.34
2022-03-13,104.65
2022-03-14,105.12
2022-03-15,103.60
2022-03-16,105.43
2022-03-17,105.98
2022-03-18,107.54
2022-03-21,107.30
2022-03-22,108.30
2022-03-23,107.17
2022-03-24,107.23
2022-03-25,107.31
2022-03-28,108.03
2022-03-29,108.33
2022-03-30,108.43
2022-03-31,108.39
2022-04-01,108.04
2022-04-03,108.61
2022-04-04,109.04
2022-04-05,108.67
2022-04-06,108.14
2022-04-07,109.01
2022-04-08,109.27
2022-04-09,109.44
2022-04-10,109.40
2022-04-11,109.93
2022-04-12,109.77
2022-04-13,109.91
2022-04-14,110.42
2022-04-19,110.85
2022-04-20,110.54
2022-04-21,110.87
2022-04-22,110.35
2022-04-25,109.00
2022-04-26,109.62
2022-04-27,108.91
2022-04-28,108.77
2022-04-29,108.00
2022-04-30,108.00
2022-05-02,108.09
2022-05-03,109.21
2022-05-04,110.57
2022-05-05,108.08
2022-05-06,107.72
2022-05-07,107.89
2022-05-08,107.87
2022-05-09,106.99
2022-05-10,107.67
2022-05-11,107.12
2022-05-12,108.18
2022-05-13,109.00
2022-05-15,109.63
2022-05-16,109.29
2022-05-17,110.13
2022-05-18,109.71
2022-05-19,108.94
2022-05-20,109.83
2022-05-21,109.41
2022-05-22,109.50
2022-05-23,109.95
2022-05-24,109.58
2022-05-25,110.63
2022-05-26,110.69
2022-05-27,111.48
2022-05-28,111.63
2022-05-29,111.65
2022-05-30,110.95
2022-05-31,110.81
2022-06-01,110.56
2022-06-02,110.58
2022-06-03,110.12
2022-06-04,110.14
2022-06-05,110.13
2022-06-06,110.52
2022-06-07,110.53
2022-06-08,109.47
2022-06-09,108.53
2022-06-10,107.70
2022-06-13,106.00
2022-06-14,106.14
2022-06-15,107.33
2022-06-16,105.27
2022-06-17,105.45
2022-06-18,105.38
2022-06-19,105.39
2022-06-20,106.34
2022-06-21,107.49
2022-06-22,106.62
2022-06-23,106.50
2022-06-24,106.79
2022-06-25,107.52
2022-06-26,107.43
2022-06-27,107.19
2022-06-28,108.24
2022-06-29,108.10
2022-06-30,107.03
2022-07-01,106.54
2022-07-02,107.72
2022-07-03,107.66
2022-07-04,107.58
2022-07-05,106.39
2022-07-06,106.45
2022-07-07,106.23
2022-07-08,107.37
2022-07-09,107.47
2022-07-10,107.45
2022-07-11,106.60
2022-07-12,106.40
2022-07-13,106.45
2022-07-14,105.28
2022-07-15,105.53
2022-07-16,105.82
2022-07-18,106.96
2022-07-19,106.46
2022-07-20,107.48
2022-07-21,106.05
2022-07-22,105.35
2022-07-23,105.38
2022-07-24,105.43
2022-07-25,106.16
2022-07-26,106.47
2022-07-27,106.22
2022-07-28,106.41
2022-07-29,106.10
2022-07-30,106.59
2022-07-31,106.59
2022-08-01,106.03
2022-08-02,105.77
2022-08-03,105.84
2022-08-04,105.40
2022-08-05,106.43
2022-08-07,106.35
2022-08-08,106.80
2022-08-09,106.77
2022-08-10,106.92
2022-08-11,107.27
2022-08-12,107.56
2022-08-13,108.01
2022-08-14,107.96
2022-08-15,107.88
2022-08-16,108.40
2022-08-17,107.76
2022-08-18,107.51
2022-08-19,107.10
2022-08-20,107.20
2022-08-22,107.02
2022-08-23,106.47
2022-08-24,106.23
2022-08-25,106.62
2022-08-26,105.29
2022-08-27,105.25
2022-08-28,105.27
2022-08-29,105.29
2022-08-30,105.03
